"Pullleftitem image","Pullleftitem image_link","Butikheader link","Butikheader link_link","Butikblock link","Butikblock link_link","Pullright value","Item link","Item link_link","Listprice number"
"https://cdn.blocket.com/static/0/lithumbs/44/4447975323.jpg","http://www.blocket.se/horby/Audi_A3_2_0_TFSI_quattro__200hk__laga_mil_66578155.htm?ca=23&w=1","Butik","http://www.blocket.se/bilborsen-i-hoor-hb?ca=23","Hörby","http://www.blocket.se/li?ca=23&w=1&m=266","Idag 13:50","Audi A3 2.0 TFSI quattro (200hk) låga mil -06","http://www.blocket.se/horby/Audi_A3_2_0_TFSI_quattro__200hk__laga_mil_66578155.htm?ca=23&w=1","79 900:-"
"https://cdn.blocket.com/static/0/lithumbs/64/6449863847.jpg","http://www.blocket.se/helsingborg/Audi_A3_2_0Turbo___FSI_Quattro___Svensksald_0_67450845.htm?ca=23&w=1","Butik","http://www.blocket.se/carmens-bil-hb?ca=23",,,"Igår 14:25","Audi A3 2.0Turbo / FSI Quattro / Svensksåld 0 -05","http://www.blocket.se/helsingborg/Audi_A3_2_0Turbo___FSI_Quattro___Svensksald_0_67450845.htm?ca=23&w=1","54 900:-"
"https://cdn.blocket.com/static/0/lithumbs/63/6330287962.jpg","http://www.blocket.se/hassleholm/Audi_a3_67448387.htm?ca=23&w=1",,,"Hässleholm","http://www.blocket.se/li?ca=23&w=1&m=264","Igår 12:39","Audi a3 -00","http://www.blocket.se/hassleholm/Audi_a3_67448387.htm?ca=23&w=1","9 999:-"
"https://cdn.blocket.com/static/0/lithumbs/62/6217359701.jpg","http://www.blocket.se/angelholm/Audi_A3_TDI_1_6_Sportback_67441327.htm?ca=23&w=1",,,"Ängelholm","http://www.blocket.se/li?ca=23&w=1&m=288","10 juni 20:14","Audi A3 TDI 1,6 Sportback -10","http://www.blocket.se/angelholm/Audi_A3_TDI_1_6_Sportback_67441327.htm?ca=23&w=1","74 000:-"
"https://cdn.blocket.com/static/2/lithumbs/62/6204410783.jpg","http://www.blocket.se/malmo/Audi_A3_1_6_FSI_67440213.htm?ca=23&w=1",,,"Sydost","http://www.blocket.se/li?ca=23&w=1&as=274_3","10 juni 18:58","Audi A3 1,6 FSI -04","http://www.blocket.se/malmo/Audi_A3_1_6_FSI_67440213.htm?ca=23&w=1","25 000:-"
"https://cdn.blocket.com/static/1/lithumbs/62/6262940814.jpg","http://www.blocket.se/malmo/Audi_3_1_6_98_arsmodell_67439083.htm?ca=23&w=1",,,"Centralt Söder","http://www.blocket.se/li?ca=23&w=1&as=274_2","10 juni 18:03","Audi 3 1.6 98 årsmodell -98","http://www.blocket.se/malmo/Audi_3_1_6_98_arsmodell_67439083.htm?ca=23&w=1","12 000:-"
"https://cdn.blocket.com/static/1/lithumbs/62/6236177829.jpg","http://www.blocket.se/helsingborg/Audi_A3_2_0TFSI__200hk___Sportback_67438859.htm?ca=23&w=1","Butik","http://www.blocket.se/vala-bilforsaljning?ca=23","Helsingborg","http://www.blocket.se/li?ca=23&w=1&m=263","10 juni 17:50","Audi A3 2.0TFSI/ 200hk / Sportback -06","http://www.blocket.se/helsingborg/Audi_A3_2_0TFSI__200hk___Sportback_67438859.htm?ca=23&w=1","92 500:-"
"https://cdn.blocket.com/static/0/lithumbs/55/5554568158.jpg","http://www.blocket.se/malmo/Audi_a3_67317578.htm?ca=23&w=1",,,"Centralt Söder","http://www.blocket.se/li?ca=23&w=1&as=274_2","10 juni 15:15","Audi a3 -06","http://www.blocket.se/malmo/Audi_a3_67317578.htm?ca=23&w=1","57 000:-"
"https://cdn.blocket.com/static/2/lithumbs/62/6273772893.jpg","http://www.blocket.se/malmo/Audi_A3_1_6_TDI_Sportback__DIESEL_105hk__67433507.htm?ca=23&w=1","Butik","http://www.blocket.se/seatcentermalmo?ca=23","Centralt Söder","http://www.blocket.se/li?ca=23&w=1&as=274_2","10 juni 13:10","Audi A3 1.6 TDI Sportback (DIESEL 105hk) -13","http://www.blocket.se/malmo/Audi_A3_1_6_TDI_Sportback__DIESEL_105hk__67433507.htm?ca=23&w=1","119 900:-"
"http://www.blocket.se/img/transparent.gif","http://www.blocket.se/kristianstad/Audi_A3_1_6_1_Ranta_67432267.htm?ca=23&w=1","Butik","http://www.blocket.se/kalles-bil-center-i-kristianstad?ca=23","Kristianstad","http://www.blocket.se/li?ca=23&w=1&m=269","10 juni 12:10","Audi A3 1,6 1%Ränta -00","http://www.blocket.se/kristianstad/Audi_A3_1_6_1_Ranta_67432267.htm?ca=23&w=1","10 900:-"
